study_condition	nonNASH-OB	nonNASH-OB	H	H	H	H	nonNASH-OB	H	H	H	H	H	nonNASH-OB	H	H	H	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.0	0.005226480836236934	0.015083798882681562	0.019681349578256794	0.003165511003919204	0.002956174709925356	0.03365268496900411	0.0004696489374192791	0.029422527995315816	0.0	0.005353083522768939	0.002316781218626921	0.008178513731825524	0.021275013017927547	0.04253158844765343	0.10974499089253188	0.003594483568075117	7.094211123723042e-05	0.007890065093037017	0.011990407673860911	0.004531174480425325	0.019330504479019336	0.006311724957303036	0.017080305746909503	0.0026014568158168575	0.02258566978193147	0.005509641873278236	0.017692779709552055	0.0	0.006482325534285425	0.034469135802469145	0.0003665241295051924	0.014559136266972025	0.00016020506247997436	0.000639284001917852	0.0020841474534323305	0.01838052657724789	0.00019607843137254904	0.013034188034188035	0.010054239978833177
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.0	0.0	0.0008130081300813008	0.0011173184357541898	0.0014727540500736377	0.002788664455833584	0.0	0.006360196441510345	0.00023482446870963955	0.0022689014125741053	0.000631911532385466	0.0008799589352496884	0.0004633562437253842	0.0	0.005430335490589898	0.0628384476534296	0.0	0.0006602112676056338	0.0	0.0003287527122098758	0.0005995203836930455	0.00030207829869502174	0.0023573785950023575	0.0011138338159946536	0.0023591582523355666	0.0001040582726326743	0.0	0.0001147842056932966	0.00010227040294538761	0.0	0.0	0.001382716049382716	0.0	0.008670047439882218	0.0	0.0	0.0	0.011127670144063587	0.006666666666666667	0.0057692307692307696	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.050881571532083e-05	0.0	0.0	0.0	0.0	0.00038613020310448683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044553352639786146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012217470983506414	0.0	0.0008010253123998718	0.0	0.0	9.935419771485345e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia	0.00037151702786377707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022007042253521127	0.11414585698070374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046175157765122367	0.0	0.0	0.0	0.0	0.0	0.0	0.0002605184316790413	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	0.004708904109589041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021282633371169125	6.575054244197515e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013229263130043657
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025484593404896134	0.0	0.0	0.0	0.0	0.00029342723004694836	0.0	0.0	0.0022482014388489208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012217470983506414	0.0	0.0	0.0	0.0	0.0	6.535947712418301e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.0001238390092879257	0.0004280821917808219	0.0	0.0	0.0	0.0	7.390436774813391e-05	0.0	0.0	0.0003659518407377589	0.0	0.00014665982254161473	0.00038613020310448683	0.00010096930533117933	0.00014877631481068215	0.0	0.0	7.335680751173709e-05	0.00028376844494892167	0.0006575054244197516	0.00014988009592326138	0.0009666505558240697	0.0	0.0011880894037276306	0.0	0.0	0.0005562972852692479	0.0	0.0	0.0	0.00020257267294641952	0.0003950617283950617	0.0	0.0	0.00016020506247997436	0.000319642000958926	0.0	0.0004967709885742673	0.0006535947712418301	0.0008547008547008547	0.0003968778939013097
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella	0.00037151702786377707	0.0017123287671232876	0.00011614401858304297	0.0	6.694336591243807e-05	0.0002261079288513717	0.0	0.0	0.0	0.0006587133133279661	0.0	0.00029331964508322946	0.00030890416248358944	0.00010096930533117933	0.0	0.0	0.0	0.0	0.00014188422247446084	0.0009862581366296272	0.0	0.0007854035766070565	0.0	0.0020791564565233534	0.0	0.0	0.001001335113484646	0.0004591368227731864	0.0	0.0	0.00020257267294641952	0.00019753086419753085	0.0	0.0001635858007524947	0.0	0.000799105002397315	0.0	0.0005961251862891207	0.000784313725490196	0.0017094017094017094	0.00026458526260087314
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0001238390092879257	0.0012842465753424657	0.00023228803716608595	0.0	0.0004016601954746285	0.000829062405788363	7.390436774813391e-05	0.0	0.00011741223435481978	0.0005123325770328625	0.0	0.0002199897338124221	7.722604062089736e-05	0.00010096930533117933	7.438815740534107e-05	0.0001128158844765343	0.0	0.0	0.0	6.575054244197515e-05	0.0	0.0001208313194780087	0.0	0.0003712779386648846	0.00018873266018684534	0.0	0.0004450378282153983	0.0	0.00010227040294538761	0.0	0.0	0.0	0.0	0.0	0.0	0.000159821000479463	0.0	0.0005961251862891207	0.00026143790849673205	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.001238390092879257	0.004708904109589041	0.005923344947735193	0.007402234636871508	0.002878564734234837	0.0032408803135363278	0.004582070800384302	8.050881571532083e-05	0.0052835505459668895	0.0019761399399838985	0.009794628751974723	0.0013199384028745324	0.0024712332998687156	0.005553311793214863	0.010116789407126386	0.0009025270758122744	0.0004553734061930783	0.0016138497652582158	0.000851305334846765	0.0005917548819777764	0.00029976019184652276	0.0002416626389560174	0.00023573785950023574	0.002376178807455261	0.0016042276115881854	0.0	0.0011125945705384957	0.005853994490358127	0.0011249744323992637	0.0006156687702016315	0.007090043553124682	0.0011851851851851852	0.0	0.008506461639129723	0.0	0.002876778008630334	0.0	0.008246398410332837	6.535947712418301e-05	0.005555555555555556	0.00013229263130043657
k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__	0.0001238390092879257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015445208124179472	0.0	0.0009670460462694339	0.0	0.0	0.0	0.001206015891032917	0.0	0.0	0.0	0.0	7.425558773297691e-05	0.0	0.0	0.0	0.0	0.0	0.001308296136678467	0.0	0.0	0.0	0.0	0.0	0.0	0.0005210368633580826	0.0	0.0022875816993464053	0.00021367521367521368	0.0
